UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
0	0
19	0
3	18
5	0
0	3
0	17
18	2
34	192
1	88
0	0
2	54
0	0
0	3
14	95
1	0
87	4
0	133
2	8
46	259
0	14
1	17
13	42
0	1
26	6
4	46
51	2
57	2
5	23
14	2
352	15
80	1
36	0
25	15
7	0
208	5
0	38
9	0
0	64
6	0
93	3
11	29
0	0
0	22
11	42
58	1
6	12
0	38
0	29
116	35
99	4
1	0
235	14
8	49
36	1
49	0
65	1
54	2
70	0
51	1
32	0
0	133
6	40
2	11
10	23
6	6
0	3
23	64
52	5
2	0
34	0
0	0
71	2
81	6
77	7
35	3
133	5
75	3
73	10
84	4
48	0
105	4
83	0
79	3
22	0
61	1
11	0
138	4
59	4
81	5
45	0
79	2
19	1
22	1
38	3
79	2
0	0
28	1
97	3
15	0
35	0
11	0
11	2
28	7
24	7
23	3
6	0
18	3
0	17
0	3
86	24
9	50
7	17
0	1
7	19
0	0
21	93
33	43
1	88
2	8
0	29
23	0
0	0
0	0
97	4
72	1
35	1
2	0
2	10
20	3
29	10
1	2
0	0
11	46
18	192
46	259
0	27
0	54
727	0
6438	88
0	3879
390	6728
332	3750
3	6684
501	214
146	371
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1495	6573
0	1601
0	42
139	10318
347	5116
21	5390
0	3646
158	706
0	4293
1832	8
1482	14810
153	8393
0	1160
2164	1809
2295	1821
30	11
232	1322
0	1601
2580	14809
156	3382
0	3341
0	35
0	42
108	924
243	3920
0	4293
13222	157
0	0
22	2
804	15
93	3
4	8
23	5
166	16
472	187
38	113
352	503
197	35
154	27
1311	246
19	29
67	15
104	14
0	328
86	405
11	68
0	201
0	9
1	633
0	8
0	8
1	0
148	37
2	74
0	17
0	0
0	0
204	41
3	0
101	7
0	30
2	2
0	45
245	6
6	421
1	374
503	262
2	521
4	0
14	36
84	46
0	5
62	12
0	236
69	73
0	0
0	26
0	4
1	467
3	229
1	495
0	88
435	77
0	0
0	160
0	137
0	92
0	27
230	79
21	129
13	0
217	1
0	0
0	7
0	50
85	149
6	362
1	25
242	22
0	0
201	559
147	18
0	145
82	1
1	183
1073	29
0	98
169	6
0	420
0	7
0	520
0	4
0	467
0	30
80	438
0	0
0	88
0	235
22	66
372	59
0	378
0	0
9	0
