UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
132	1
10	1
45	3
17	49
39	6
0	3
0	85
37	1
28	417
2	281
0	0
2	41
0	0
1	0
71	252
1	1
189	13
0	675
0	18
66	327
97	64
1	40
25	275
1	1
32	14
11	83
28	1
127	14
11	37
310	11
408	16
111	10
58	1
62	65
15	0
344	17
9	158
11	2
0	166
2	0
216	2
12	47
2	0
0	72
37	110
133	6
28	32
0	158
0	132
159	113
93	5
0	0
239	11
4	98
146	3
61	1
316	8
60	2
148	7
82	1
40	4
3	675
28	276
18	31
26	72
6	13
0	0
54	166
66	1
0	0
91	1
1	0
57	6
200	10
98	11
79	3
210	2
211	5
60	11
155	3
143	3
87	3
138	10
231	3
44	2
96	5
4	1
263	13
80	3
265	15
41	3
133	3
126	2
36	0
38	0
58	2
0	0
67	3
171	9
31	1
29	0
5	0
22	2
5	12
153	13
27	1
6	0
20	0
2	40
1	3
156	39
19	97
17	85
0	1
8	49
0	0
0	251
41	108
11	284
3	18
7	134
4	0
0	0
3	0
124	4
270	13
59	0
45	1
159	41
180	2
155	42
1	2
0	0
7	83
72	416
72	327
4	47
0	41
1290	6
11875	136
369	12068
789	16842
506	11314
1	16668
1752	504
169	1005
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4322	25517
0	7745
0	19
666	54796
1109	23038
112	25122
5	17032
359	1780
0	17541
3653	13
2996	28229
355	45618
0	5023
9443	6935
8735	6950
218	29
583	5526
0	7745
4830	28234
386	10068
0	9925
0	10
0	19
280	2401
659	14994
0	17541
42349	294
0	0
48	0
1925	31
196	64
21	6
98	40
439	79
1423	425
115	445
817	1360
336	79
376	101
3231	542
9	46
502	260
280	22
0	1070
426	1471
45	295
0	1262
2	22
1	1809
0	24
0	25
6	0
660	88
2	82
0	63
0	4
0	0
1292	77
502	2
157	6
0	203
172	8
0	298
502	3
9	886
2	1451
1401	915
5	868
4	0
45	70
288	214
0	11
241	20
8	830
256	336
0	199
0	47
0	2
5	784
11	1288
19	2085
0	669
2465	235
3	19
0	442
0	570
0	277
0	89
562	118
87	627
42	0
554	4
0	0
0	23
0	161
221	302
8	825
87	75
428	50
30	0
933	2448
262	45
0	869
328	2
5	662
3122	60
5	250
325	16
0	885
0	23
0	863
0	2
0	784
0	203
634	2160
135	202
0	669
0	830
